PATTERN,COUN,TESTNAME
G1405164P2372660_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,8,SBFT_SIGON_1500_NOM
G1405164P2372660_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,9,SBFT_SIGON_1800_NOM
G1405164P2372660_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_AGU_CKT_12_PORT2_DPDAT,6,SBFT_SIGON_2000_NOM
G1405176P2374370_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_ALIGN6C_PORT2_DPDAT,2,SBFT_SIGON_2000_NOM
G1405284P2338696_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SEG_PRIVILEGE__INT_N__0020_SBFT,1,SBFT_SIGON_2000_NOM
G1405290P2233088_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_MIXED6_SBFT,1,SBFT_SIGON_2000_NOM
G1405353P2477868_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_PIX_FRITS_CALLRETSH1_5,1,SBFT_SIGON_2000_NOM
G1405399P2343986_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,1,SBFT_SIGON_1500_NOM
G1405470P2476018_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_DTBRKPT1_DBG_ORP_000,1,SBFT_SIGON_2000_NOM
G1405543P2374880_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_ALU_WALK_CARRY_P1_6_PORT2_DPDAT,1,SBFT_SIGON_1800_NOM
G1405611P2515428_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_FLAG_MOV_PRT0_LO_RAND0_DPDAT,1,SBFT_SIGON_2000_NOM
G1405621P2237908_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_SAAT_SABREAKD_DR3_SBFT_T0,1,SBFT_SIGON_2000_NOM
G1405622P2345492_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LDST_ORP_036,1,SBFT_SIGON_1800_NOM
G1405846P2449290_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST1_ORP_000,2,SBFT_SIGON_1000_NOM_FF
G1405846P2449290_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST1_ORP_000,2,SBFT_SIGON_1500_NOM
G1405846P2449290_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_HE_CREG_TEST1_ORP_000,2,SBFT_SIGON_1800_NOM
G1405874P2266648_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WNI_PRELOAD_LM0_ORP_000,1,SBFT_SIGON_2000_NOM
G1405986P2222318_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LDST_ORP_004,3,SBFT_SIGON_1000_NOM_FF
G1405986P2222318_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LDST_ORP_004,2,SBFT_SIGON_1500_NOM
G1405986P2222318_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LDST_ORP_004,2,SBFT_SIGON_1800_NOM
G1406039P2345432_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL_GDBND,1,SBFT_SIGON_2000_NOM
G1406042P2344166_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,1,SBFT_SIGON_2000_NOM
G1406089P2344536_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BPBTB_TAR_2PORT_RDS_FINAL,1,SBFT_SIGON_2000_NOM
G1406128P2423222_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_PSC_4R_CRU_TOR_TRIP_T1_IAQDAT,2,SBFT_SIGON_1000_NOM_FF
G1406128P2423222_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_PSC_4R_CRU_TOR_TRIP_T1_IAQDAT,2,SBFT_SIGON_1500_NOM
G1406128P2423222_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_PSC_4R_CRU_TOR_TRIP_T1_IAQDAT,2,SBFT_SIGON_1800_NOM
G1406128P2423222_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_PSC_4R_CRU_TOR_TRIP_T1_IAQDAT,2,SBFT_SIGON_2000_NOM
G1406191P2230258_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FPU_OVRFL_FADD_ORP_004,1,SBFT_SIGON_2000_NOM
G1406350P2422742_014040_PK03DQ_LBXXX_US1XM1X0XXXIXXXXX_PSC_4R_CRU_ALU_DEP_ON_LD_IAQDAT,1,SBFT_SIGON_2000_NOM
G1406393P2230768_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_MMX_PAGING_ORP_003,1,SBFT_SIGON_1000_NOM_FF
G1406475P2330212_014040_PK03DB_LBXXX_US1XM1X1XXXIXXXXX_WNI_PRELOAD_LM3_ORP_000,1,SBFT_SIGON_1800_NOM
G1406540P2310068_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_INT_NOPRELOAD_LM0_ORP_000,1,SBFT_SIGON_2000_NOM
G1406655P2444690_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_FMDIVCTLS_MIXED_EXCEPTIONS_MT,2,SBFT_SIGON_1000_NOM_FF
G1406748P2231088_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_LDST_ORP_000,1,SBFT_SIGON_1800_NOM
G1406774P2345712_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_XMM_BASIC_BOOTSTRAP_PAGING_S03_O151,1,SBFT_SIGON_2000_NOM
G1406864P2388808_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_BRANCH_ORP_011,1,SBFT_SIGON_1800_NOM
G1407004P2266228_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_WNI_NOPRELOAD_LM3_ORP_000,1,SBFT_SIGON_2000_NOM
G1407196P2230838_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_XMM_PAGING_ORP_000,1,SBFT_SIGON_2000_NOM
G1407449P2439486_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FMXD_SBFT_2_ORP_000,1,SBFT_SIGON_2000_NOM
G1407452P2364540_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FACTLS_CNTRL_SIGS_PS_SS,2,SBFT_SIGON_1500_NOM
G1407452P2364540_014040_PK03DB_LBXXX_US1XM1X0XXXIXXXXX_FACTLS_CNTRL_SIGS_PS_SS,2,SBFT_SIGON_1800_NOM
