TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
5493.368,7721,406,8PLADVHH,4,13.530463054187192118226601,PSCDTJMH8MC830G1,
7981.1481,7721,588,8PLADVHH,4,13.573381122448979591836735,PSCDTJMH8MC830G1,
4181.5688,7721,305,8PLADVHH,4,13.710061639344262295081967,PSCDTJMH8MC830G1,
5554.7325,7721,409,8PLADVHH,4,13.581253056234718826405868,PSCDTJMH8MC830G1,
8633.6694,7721,634,8PLADVHH,4,13.617775078864353312302839,PSCDTJMH8MC830G1,
3508.1607,7721,259,8PLADVHH,4,13.545022007722007722007722,PSCDTJMH8MC830G1,
2642.1126,7721,193,8PLADVHH,4,13.689702590673575129533679,PSCDTJMH8MC830G1,
15057.7091,7721,1107,8PLADVHH,4,13.602266576332429990966576,PSCDTJMH8MC830G1,
9134.1889,7721,670,8PLADVHH,4,13.633117761194029850746269,PSCDTJMH8MC830G1,
8418.0645,7721,620,8PLADVHH,4,13.577523387096774193548387,PSCDTJMH8MC830G1,
6084.3286,7721,449,8PLADVHH,4,13.550843207126948775055679,PSCDTJMH8MC830G1,
5662.9395,7721,416,8PLADVHH,4,13.612835336538461538461538,PSCDTJMH8MC830G1,
8160.0457,7721,605,8PLADVHH,4,13.487678842975206611570248,PSCDTJMH8MC830G1,
7770.7114,7721,566,8PLADVHH,4,13.72917208480565371024735,PSCDTJMH8MC830G1,
9767.5239,7721,722,8PLADVHH,4,13.528426454293628808864266,PSCDTJMH8MC830G1,
6671.9925,7721,492,8PLADVHH,4,13.560960365853658536585366,PSCDTJMH8MC830G1,
7352.1371,7721,545,8PLADVHH,4,13.490159816513761467889908,PSCDTJMH8MC830G1,
6494.7152,7721,478,8PLADVHH,4,13.587270292887029288702929,PSCDTJMH8MC830G1,
8262.4622,7721,605,8PLADVHH,4,13.656962314049586776859504,PSCDTJMH8MC830G1,
13210.0271,7721,970,8PLADVHH,4,13.618584639175257731958763,PSCDTJMH8MC830G1,
8706.1227,7721,643,8PLADVHH,4,13.53984867807153965785381,PSCDTJMH8MC830G1,
7386.5644,7721,546,8PLADVHH,4,13.528506227106227106227106,PSCDTJMH8MC830G1,
5991.0696,7721,440,8PLADVHH,4,13.616067272727272727272727,PSCDTJMH8MC830G1,
8201.8884,7721,601,8PLADVHH,4,13.64706888519134775374376,PSCDTJMH8MC830G1,
7533.3642,7721,552,8PLADVHH,4,13.647398913043478260869565,PSCDTJMH8MC830G1,
7322.386,7721,542,8PLADVHH,4,13.509937269372693726937269,PSCDTJMH8MC830G1,
7914.4895,7721,583,8PLADVHH,4,13.575453687821612349914237,PSCDTJMH8MC830G1,
3239.9066,7721,239,8PLADVHH,4,13.556094560669456066945607,PSCDTJMH8MC830G1,
7761.3879,7721,565,8PLADVHH,4,13.736969734513274336283186,PSCDTJMH8MC830G1,
3592.3206,7721,263,8PLAYVHH,4,13.659013688212927756653992,PSCDTJMH8MC830G1,
1485.6497,7721,109,8PLAYVHH,4,13.629813761467889908256881,PSCDTJMH8MC830G1,
982.7945,7721,73,8PLAYVHH,4,13.462938356164383561643836,PSCDTJMH8MC830G1,
153.1837,7721,10,8PLADVHH,5,15.31837,PSCDTJMH8MC830G1,
332.3178,7721,23,8PLADVHH,5,14.4486,PSCDTJMH8MC830G1,
372.3539,7721,27,8PLADVHH,5,13.790885185185185185185185,PSCDTJMH8MC830G1,
164.3709,7721,12,8PLADVHH,5,13.697575,PSCDTJMH8MC830G1,
153.0587,7721,11,8PLADVHH,5,13.914427272727272727272727,PSCDTJMH8MC830G1,
165.664,7721,12,8PLADVHH,5,13.805333333333333333333333,PSCDTJMH8MC830G1,
83.5114,7721,6,8PLADVHH,5,13.918566666666666666666667,PSCDTJMH8MC830G1,
333.0704,7721,24,8PLADVHH,5,13.877933333333333333333333,PSCDTJMH8MC830G1,
110.3993,7721,8,8PLADVHH,5,13.7999125,PSCDTJMH8MC830G1,
111.922,7721,8,8PLADVHH,5,13.99025,PSCDTJMH8MC830G1,
69.9766,7721,5,8PLADVHH,5,13.99532,PSCDTJMH8MC830G1,
498.5729,7721,36,8PLADVHH,5,13.849247222222222222222222,PSCDTJMH8MC830G1,
181.6706,7721,13,8PLADVHH,5,13.974661538461538461538462,PSCDTJMH8MC830G1,
388.9003,7721,28,8PLADVHH,5,13.889296428571428571428571,PSCDTJMH8MC830G1,
139.4894,7721,10,8PLADVHH,5,13.94894,PSCDTJMH8MC830G1,
166.4874,7721,12,8PLADVHH,5,13.87395,PSCDTJMH8MC830G1,
277.3325,7721,20,8PLADVHH,5,13.866625,PSCDTJMH8MC830G1,
207.2555,7721,15,8PLADVHH,5,13.817033333333333333333333,PSCDTJMH8MC830G1,
290.0277,7721,21,8PLADVHH,5,13.810842857142857142857143,PSCDTJMH8MC830G1,
362.1945,7721,25,8PLADVHH,5,14.48778,PSCDTJMH8MC830G1,
236.901,7721,17,8PLADVHH,5,13.935352941176470588235294,PSCDTJMH8MC830G1,
138.3165,7721,10,8PLADVHH,5,13.83165,PSCDTJMH8MC830G1,
387.0999,7721,28,8PLADVHH,5,13.824996428571428571428571,PSCDTJMH8MC830G1,
373.3639,7721,27,8PLADVHH,5,13.828292592592592592592593,PSCDTJMH8MC830G1,
345.4205,7721,25,8PLADVHH,5,13.81682,PSCDTJMH8MC830G1,
318.6397,7721,22,8PLADVHH,5,14.483622727272727272727273,PSCDTJMH8MC830G1,
249.2915,7721,18,8PLADVHH,5,13.849527777777777777777778,PSCDTJMH8MC830G1,
97.3938,7721,7,8PLADVHH,5,13.9134,PSCDTJMH8MC830G1,
344.3771,7721,25,8PLADVHH,5,13.775084,PSCDTJMH8MC830G1,
289.8738,7721,21,8PLADVHH,5,13.803514285714285714285714,PSCDTJMH8MC830G1,
137.1547,7721,10,8PLADVHH,5,13.71547,PSCDTJMH8MC830G1,
54.8413,7721,3,8PLADVHH,5,18.280433333333333333333333,PSCDTJMH8MC830G1,
665.5366,7721,47,8PLADVHH,5,14.16035319148936170212766,PSCDTJMH8MC830G1,
376.5238,7721,27,8PLADVHH,5,13.945325925925925925925926,PSCDTJMH8MC830G1,
236.066,7721,17,8PLADVHH,5,13.886235294117647058823529,PSCDTJMH8MC830G1,
554.3887,7721,38,8PLADVHH,5,14.589176315789473684210526,PSCDTJMH8MC830G1,
602.0448,7721,44,8PLADVHH,5,13.682836363636363636363636,PSCDTJMH8MC830G1,
219.547,7721,16,8PLADVHH,5,13.7216875,PSCDTJMH8MC830G1,
