TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
4937.8743,7721,353,8PLAEVHH,3,13.98831246,PSCDTJMH8MC830G0
1106.123,7721,84,8PLAEVHH,3,13.16813095,PSCDTJMH8MC830G0
1648.2617,7721,125,8PLAEVHH,3,13.1860936,PSCDTJMH8MC830G0
1226.3244,7721,94,8PLAEVHH,3,13.04600426,PSCDTJMH8MC830G0
2210.7254,7721,152,8PLAEVHH,3,14.54424605,PSCDTJMH8MC830G0
2494.5185,7721,162,8PLAEVHH,3,15.39826235,PSCDTJMH8MC830G0
1080.2937,7721,81,8PLAEVHH,3,13.33695926,PSCDTJMH8MC830G0
1675.7674,7721,97,8PLAEVHH,3,17.27595258,PSCDTJMH8MC830G0
1686.9772,7721,119,8PLAEVHH,3,14.17627899,PSCDTJMH8MC830G0
490.7594,7721,34,8PLAEVHH,3,14.4341,PSCDTJMH8MC830G0
1063.0632,7721,76,8PLAEVHH,3,13.98767368,PSCDTJMH8MC830G0
804.353,7721,61,8PLAEVHH,3,13.18611475,PSCDTJMH8MC830G0
1289.9106,7721,93,8PLAEVHH,3,13.87000645,PSCDTJMH8MC830G0
1108.5582,7721,80,8PLAEVHH,3,13.8569775,PSCDTJMH8MC830G0
750.2844,7721,57,8PLAEVHH,3,13.16288421,PSCDTJMH8MC830G0
1981.5852,7721,148,8PLAEVHH,3,13.38908919,PSCDTJMH8MC830G0
1395.8385,7721,89,8PLAEVHH,3,15.68357865,PSCDTJMH8MC830G0
604.0883,7721,41,8PLAEVHH,3,14.73386098,PSCDTJMH8MC830G0
656.792,7721,44,8PLAEVHH,3,14.92709091,PSCDTJMH8MC830G0
1148.6545,7721,85,8PLAEVHH,3,13.51358235,PSCDTJMH8MC830G0
96.9099,7721,7,8PLAEVHH,3,13.84427143,PSCDTJMH8MC830G0
1482.7754,7721,111,8PLAEVHH,3,13.35833694,PSCDTJMH8MC830G0
1015.6366,7721,49,8PLAEVHH,3,20.72727755,PSCDTJMH8MC830G0
876.0937,7721,65,8PLAEVHH,3,13.47836462,PSCDTJMH8MC830G0
892.6553,7721,67,8PLAEVHH,3,13.32321343,PSCDTJMH8MC830G0
85.5334,7721,6,8PLAEVHH,3,14.25556667,PSCDTJMH8MC830G0
1168.7209,7721,78,8PLAEVHH,3,14.98360128,PSCDTJMH8MC830G0
309.0855,7721,19,8PLAEVHH,3,16.26765789,PSCDTJMH8MC830G0
2908.0068,7721,222,8PLAEVHH,3,13.09912973,PSCDTJMH8MC830G0
257.0851,7721,17,8PLAEVHH,3,15.12265294,PSCDTJMH8MC830G0
1194.5527,7721,87,8PLAEVHH,3,13.7304908,PSCDTJMH8MC830G0
1366.8366,7721,81,8PLAEVHH,3,16.87452593,PSCDTJMH8MC830G0
3591.5001,7721,267,8PLAEVHH,3,13.45131124,PSCDTJMH8MC830G0
4465.8743,7721,331,8PLAEVHH,3,13.49206737,PSCDTJMH8MC830G0
479.8336,7721,28,8PLAEVHH,3,17.13691429,PSCDTJMH8MC830G0
107.2744,7721,7,8PLAEVHH,3,15.32491429,PSCDTJMH8MC830G0
