TT_SUM,OPERATION,QUANTITY,PART,IB,TT_AVG,PROGRAM
1854.7666,7721,171,8PAREVHH,2,10.846588304093567251461988,PSCDTJMH8MC830G0,
8274.82,7721,777,8PAREVHH,2,10.649703989703989703989704,PSCDTJMH8MC830G0,
9038.1676,7721,853,8PAREVHH,2,10.595741617819460726846424,PSCDTJMH8MC830G0,
6047.0552,7721,575,8PAREVHH,2,10.516617739130434782608696,PSCDTJMH8MC830G0,
8586.858,7721,813,8PAREVHH,2,10.561940959409594095940959,PSCDTJMH8MC830G0,
11036.7242,7721,1034,8PAREVHH,2,10.673814506769825918762089,PSCDTJMH8MC830G0,
4840.8904,7721,460,8PAREVHH,2,10.523674782608695652173913,PSCDTJMH8MC830G0,
3024.0604,7721,279,8PAREVHH,2,10.838926164874551971326165,PSCDTJMH8MC830G0,
4745.9241,7721,448,8PAREVHH,2,10.593580580357142857142857,PSCDTJMH8MC830G0,
6836.6979,7721,647,8PAREVHH,2,10.566766460587326120556414,PSCDTJMH8MC830G0,
5248.2354,7721,499,8PAREVHH,2,10.517505811623246492985972,PSCDTJMH8MC830G0,
5244.0389,7721,496,8PAREVHH,2,10.572659072580645161290323,PSCDTJMH8MC830G0,
4172.5366,7721,396,8PAREVHH,2,10.536708585858585858585859,PSCDTJMH8MC830G0,
11434.5605,7721,1079,8PAREVHH,2,10.597368396663577386468953,PSCDTJMH8MC830G0,
10720.7417,7721,974,8PAREVHH,2,11.00692166324435318275154,PSCDTJMH8MC830G0,
5657.6164,7721,516,8PAREVHH,2,10.964372868217054263565891,PSCDTJMH8MC830G0,
7946.877,7721,756,8PAREVHH,2,10.511742063492063492063492,PSCDTJMH8MC830G0,
10143.2251,7721,946,8PAREVHH,2,10.72222526427061310782241,PSCDTJMH8MC830G0,
10972.732,7721,1046,8PAREVHH,2,10.490183556405353728489484,PSCDTJMH8MC830G0,
3960.9101,7721,374,8PAREVHH,2,10.590668716577540106951872,PSCDTJMH8MC830G0,
4238.0605,7721,343,8PAREVHH,2,12.355861516034985422740525,PSCDTJMH8MC830G0,
3570.7019,7721,339,8PAREVHH,2,10.5330439528023598820059,PSCDTJMH8MC830G0,
