LOT,OPER,DEVREVSTEP,TP,TTEST,TGOOD,B1,B2,B3,B4,B5,B6
M531A154,7721,8PUAEVL,PSCDTJML0MCA55B0,1139,1133,,,381,2104,1631,425
M531A154,7721,8PUAEVL,PSCDTJML0MCA55B3,1139,1133,,,250,2027,1889,486
M531A155,7721,8PUAEVL,PSCDTJML0MCA55B0,1091,1086,,,306,2112,1515,403
M531A155,7721,8PUAEVL,PSCDTJML0MCA55B3,1091,1086,,,210,2173,1536,529
M531A156,7721,8PUAEVL,PSCDTJML0MCA55B0,1051,1050,,,244,2186,1468,322
M531A156,7721,8PUAEVL,PSCDTJML0MCA55B3,1051,1050,,,114,2116,1686,391
M531A157,7721,8PUAEVL,PSCDTJML0MCA55B3,1211,1188,,,139,2295,2012,478
M531A158,7721,8PUAEVL,PSCDTJML0MCA55B0,1200,1200,,,200,2245,2064,366
M531A158,7721,8PUAEVL,PSCDTJML0MCA55B3,1200,1200,,,215,2138,2188,425
M531A159,7721,8PUAEVL,PSCDTJML0MCA55B0,1182,1162,,,357,2273,1482,531
M531A160,7721,8PUAEVL,PSCDTJML0MCA55B0,1082,1080,,,356,1930,1721,340
M531A160,7721,8PUAEVL,PSCDTJML0MCA55B3,1082,1080,,,264,1952,1807,396
M531A161,7721,8PUAEVL,PSCDTJML0MCA55B3,1140,1117,,,262,1868,1945,592
M531A423,7721,8PUAEVL,PSCDTJML0MCA55B3,1165,1144,,,81,1260,2807,1027
M531A424,7721,8PUAEVL,PSCDTJML0MCA55B3,1066,1047,,,64,1263,2450,978
M531A425,7721,8PUAEVL,PSCDTJML0MCA55B3,1031,1016,,,4,654,2821,1371
M531A426,7721,8PUAEVL,PSCDTJML0MCA55B0,1116,1112,,,32,1142,2737,1197
M531A426,7721,8PUAEVL,PSCDTJML0MCA55B3,1116,1112,,,35,1098,2900,1137
M531A427,7721,8PUAEVL,PSCDTJML0MCA55B0,1160,1155,,,53,1591,2588,938
M531A427,7721,8PUAEVL,PSCDTJML0MCA55B3,1160,1155,,,26,1357,2726,1128
M531A428,7721,8PUAEVL,PSCDTJML0MCA55B0,1079,1075,,,19,1274,2622,1020
M531A428,7721,8PUAEVL,PSCDTJML0MCA55B3,1079,1075,,,2,999,2833,1131
M531A429,7721,8PUAEVL,PSCDTJML0MCA55B3,1074,1059,,,53,777,3041,1057
M531A679,7721,8PUAEVL,PSCDTJML0MCA55B3,1033,1015,,,491,3935,3047,769
M531A680,7721,8PUAEVL,PSCDTJML0MCA55B3,1241,1222,,,243,2230,2014,540
M531A681,7721,8PUAEVL,PSCDTJML0MCA55B3,1199,1178,,,106,1825,2587,561
M531A682,7721,8PUAEVL,PSCDTJML0MCA55B3,1180,1157,,,169,1901,2156,633
M531A763,7721,8PUAEVL,PSCDTJML0MCA55B3,1045,973,,,,315,2754,1759
M531A764,7721,8PUAEVL,PSCDTJML0MCA55B3,1088,1017,,,,352,3035,1623
M531A765,7721,8PUAEVL,PSCDTJML0MCA55B3,1167,1093,,,,361,3153,1932
M531A766,7721,8PUAEVL,PSCDTJML0MCA55B3,1062,988,,,,212,2723,2060
M531A908,7721,8PUAEVL,PSCDTJML0MCA55B3,1220,1165,,,115,1565,2278,1244
M531A909,7721,8PUAEVL,PSCDTJML0MCA55B3,1159,1102,,,118,1317,2185,1385
M531A910,7721,8PUAEVL,PSCDTJML0MCA55B3,1163,1134,,,46,1155,2753,1226
M531A911,7721,8PUAEVL,PSCDTJML0MCA55B3,1045,1005,,,55,1093,2107,1486
M531A914,7721,8PUAEVL,PSCDTJML0MCA55B3,1064,1033,,,43,797,2359,1719
M531A915,7721,8PUAEVL,PSCDTJML0MCA55B3,1146,1110,,,49,963,2625,1535
M531A916,7721,8PUAEVL,PSCDTJML0MCA55B3,1179,1151,,,6,1089,3013,1258
M531A917,7721,8PUAEVL,PSCDTJML0MCA55B3,1192,1154,,,22,1066,2814,1469
